Veh. Name	Veh. ID	Manufacterer	Trim level	Size	Performance	Safety	Insurance	Warranty	Price	"Wheelbase, in."	"Overall Length, in."	"Overall Width, in."	"Overall Height, in."	"Curb Weight, lbs."	"Cargo Volume, cu. ft."	"Fuel Capacity, gals."	Seating Capacity	"Front Head Room, in."	"Max. Front Leg Room, in."	"Rear Head Room, in."	"Min. Rear Leg Room, in."	"Size, liters/cu. in"	Horsepower 	 rpm	Torque (lb-ft) @ rpm	MPG (city)	MPG (highway)	"Front Impact, Driver"	"Front Impact, Passenger"	Rollover Resistance	"Side Impact, Driver"	"Side Impact, Rear Passenger"	Insurance Costs	Bumper-to-bumper	Extended powertrain	Corrosion	Free roadside assistance	Free scheduled maintenance	Retail Price	Dealer Invoice
S	I	S	S	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	I	I	I	I	I	I	I	I	I	I	I	I	I
N	N	N	N	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q	Q
2005 Suzuki Verona	38240	Suzuki	Standard	0.2	0.02	0.11	-0.05	0	-0.01	106.3	187.8	71.5	57.1	3380	13.4	17.2	5	39.1	42.2	37.3	37.8	2.5	155	5800	177	20	28	NA	NA	NA	NA	NA	NA	0	0	0	0	0	19249	18094
2005 Suzuki Verona	38240	Suzuki	Standard	0.2	0.02	0.11	-0.05	0	-0.02	106.3	187.8	71.5	57.1	3380	13.4	17.2	5	39.1	42.2	37.3	37.8	2.5	155	5800	177	20	28	NA	NA	NA	NA	NA	NA	0	0	0	0	0	20449	19222
2005 Toyota Avalon	38244	Toyota	Standard	0.22	0.03	0.11	-0.05	0	-0.02	111	197.2	72.8	58.5	3490	14.4	18.5	5	38.8	41.3	37.5	40.9	3.5	280	6200	260	22	30	NA	NA	4	NA	NA	NA	0	0	0	0	0	26350	23543
2005 Toyota Avalon	38244	Toyota	Standard	0.22	0.03	0.11	-0.05	0	-0.03	111	197.2	72.8	58.5	3490	14.4	18.5	5	38.8	41.3	37.5	40.9	3.5	280	6200	260	22	30	NA	NA	4	NA	NA	NA	0	0	0	0	0	28600	25554
2005 Toyota Avalon	38244	Toyota	Standard	0.22	0.03	0.11	-0.05	0	-0.03	111	197.2	72.8	58.5	3490	14.4	18.5	5	38.8	41.3	37.5	40.9	3.5	280	6200	260	22	30	NA	NA	4	NA	NA	NA	0	0	0	0	0	30800	27104
2005 Toyota Avalon	38244	Toyota	Standard	0.22	0.03	0.11	-0.05	0	-0.03	111	197.2	72.8	58.5	3490	14.4	18.5	5	38.8	41.3	37.5	40.9	3.5	280	6200	260	22	30	NA	NA	4	NA	NA	NA	0	0	0	0	0	33540	29514
2005 Toyota Camry	38245	Toyota	4-cyl	0.2	0.02	0.1	-0.02	0.03	-0.01	107.1	189.2	70.7	58.3	3108	16.7	18.5	5	39.2	41.5	38.3	37.8	2.4	160	5700	163	24	33.5	NA	NA	4	4	3	990	108000	300000	600000	NA	0	18195	16645
2005 Toyota Camry	38245	Toyota	4-cyl	0.2	0.02	0.1	-0.02	0.03	-0.01	107.1	189.2	70.7	58.3	3108	16.7	18.5	5	39.2	41.5	38.3	37.8	2.4	160	5700	163	24	33.5	NA	NA	4	4	3	990	108000	300000	600000	NA	0	19025	17406
2005 Toyota Camry	38245	Toyota	4-cyl	0.2	0.02	0.1	-0.04	0.03	-0.01	107.1	189.2	70.7	58.3	3108	16.7	18.5	5	39.2	41.5	38.3	37.8	2.4	160	5700	163	24	33.5	NA	NA	4	4	3	1260	108000	300000	600000	NA	0	19295	17266
2005 Toyota Camry	38245	Toyota	4-cyl	0.2	0.02	0.1	-0.04	0.03	-0.01	107.1	189.2	70.7	58.3	3108	16.7	18.5	5	39.2	41.5	38.3	37.8	2.4	160	5700	163	24	33.5	NA	NA	4	4	3	1260	108000	300000	600000	NA	0	20125	18011
2005 Toyota Camry	38245	Toyota	"LE, XLE V6"	0.2	0.02	0.1	-0.04	0.03	-0.02	107.1	189.2	70.7	58.3	3108	16.7	18.5	5	39.2	41.5	38.3	37.8	3	210	5800	220	20	28	NA	NA	4	4	3	1260	108000	300000	600000	NA	0	22530	20051
2005 Toyota Camry	38245	Toyota	4-cyl	0.2	0.02	0.1	-0.03	0.03	-0.01	107.1	189.2	70.7	58.3	3108	16.7	18.5	5	39.2	41.5	38.3	37.8	2.4	160	5700	163	24	33.5	NA	NA	4	4	3	1170	108000	300000	600000	NA	0	20125	17910
2005 Toyota Camry	38245	Toyota	4-cyl	0.2	0.02	0.1	-0.03	0.03	-0.02	107.1	189.2	70.7	58.3	3108	16.7	18.5	5	39.2	41.5	38.3	37.8	2.4	160	5700	163	24	33.5	NA	NA	4	4	3	1170	108000	300000	600000	NA	0	20955	18649
2005 Toyota Camry	38245	Toyota	SE V6	0.2	0.03	0.1	-0.03	0.03	-0.02	107.1	189.2	70.7	58.3	3108	16.7	18.5	5	39.2	41.5	38.3	37.8	3.3	225	5600	240	21	29	NA	NA	4	4	3	1170	108000	300000	600000	NA	0	23775	21158
2005 Toyota Camry	38245	Toyota	4-cyl	0.2	0.02	0.1	-0.04	0.03	-0.02	107.1	189.2	70.7	58.3	3108	16.7	18.5	5	39.2	41.5	38.3	37.8	2.4	160	5700	163	24	33.5	NA	NA	4	4	3	1260	108000	300000	600000	NA	0	22545	20063
2005 Toyota Camry	38245	Toyota	"LE, XLE V6"	0.2	0.02	0.1	-0.04	0.03	-0.02	107.1	189.2	70.7	58.3	3108	16.7	18.5	5	39.2	41.5	38.3	37.8	3	210	5800	220	20	28	NA	NA	4	4	3	1350	108000	300000	600000	NA	0	25555	22743
2005 Toyota Celica	38246	Toyota	GT	0.12	0.02	0.08	-0.07	0.03	-0.01	102.4	170.5	68.3	51.4	2425	16.9	14.5	4	38.4	43.6	35	27	1.8	140	6400	125	28	34.5	4	4	5	3	NA	1800	108000	300000	600000	NA	0	17670	15990
2005 Toyota Celica	38246	Toyota	GT	0.12	0.02	0.08	-0.07	0.03	-0.01	102.4	170.5	68.3	51.4	2425	16.9	14.5	4	38.4	43.6	35	27	1.8	140	6400	125	28	34.5	4	4	5	3	NA	1800	108000	300000	600000	NA	0	18470	16714
2005 Toyota Celica	38246	Toyota	GT	0.12	0.02	0.08	-0.07	0.03	-0.02	102.4	170.5	68.3	51.4	2425	16.9	14.5	4	38.4	43.6	35	27	1.8	140	6400	125	28	34.5	4	4	5	3	NA	1800	108000	300000	600000	NA	0	22335	20100
2005 Toyota Celica	38246	Toyota	GT	0.12	0.02	0.08	-0.07	0.03	-0.02	102.4	170.5	68.3	51.4	2425	16.9	14.5	4	38.4	43.6	35	27	1.8	140	6400	125	28	34.5	4	4	5	3	NA	1800	108000	300000	600000	NA	0	23035	20730
2005 Toyota Corolla	38247	Toyota	"CE, S, LE"	0.16	0.02	0.12	-0.03	0.03	-0.01	102.4	178.3	66.9	58.3	2530	13.6	13.2	5	39.1	41.3	37.1	35.4	1.8	130	6000	125	31	39.5	5	5	4	4	4	1080	108000	300000	600000	NA	0	13780	12744
2005 Toyota Corolla	38247	Toyota	"CE, S, LE"	0.16	0.02	0.12	-0.03	0.03	-0.01	102.4	178.3	66.9	58.3	2530	13.6	13.2	5	39.1	41.3	37.1	35.4	1.8	130	6000	125	31	39.5	5	5	4	4	4	1080	108000	300000	600000	NA	0	14580	13484
2005 Toyota Corolla	38247	Toyota	"CE, S, LE"	0.16	0.02	0.12	-0.03	0.03	-0.01	102.4	178.3	66.9	58.3	2530	13.6	13.2	5	39.1	41.3	37.1	35.4	1.8	130	6000	125	31	39.5	5	5	4	4	4	1080	108000	300000	600000	NA	0	14990	13563
2005 Toyota Corolla	38247	Toyota	"CE, S, LE"	0.16	0.02	0.12	-0.03	0.03	-0.01	102.4	178.3	66.9	58.3	2530	13.6	13.2	5	39.1	41.3	37.1	35.4	1.8	130	6000	125	31	39.5	5	5	4	4	4	1080	108000	300000	600000	NA	0	15790	14287
2005 Toyota Corolla	38247	Toyota	"CE, S, LE"	0.16	0.02	0.12	-0.03	0.03	-0.01	102.4	178.3	66.9	58.3	2530	13.6	13.2	5	39.1	41.3	37.1	35.4	1.8	130	6000	125	31	39.5	5	5	4	4	4	1080	108000	300000	600000	NA	0	14825	13416
2005 Toyota Corolla	38247	Toyota	"CE, S, LE"	0.16	0.02	0.12	-0.03	0.03	-0.01	102.4	178.3	66.9	58.3	2530	13.6	13.2	5	39.1	41.3	37.1	35.4	1.8	130	6000	125	31	39.5	5	5	4	4	4	1080	108000	300000	600000	NA	0	15625	14140
2005 Toyota Corolla	38247	Toyota	"CE, S, LE"	0.16	0.02	0.12	-0.03	0.03	-0.01	102.4	178.3	66.9	58.3	2530	13.6	13.2	5	39.1	41.3	37.1	35.4	1.8	130	6000	125	31	39.5	5	5	4	4	4	1080	108000	300000	600000	NA	0	17555	15886
2005 Saturn Ion	38248	Saturn	--	0.16	0.02	0.13	-0.01	0.03	0	103.2	184.5	67.2	57.4	2692	14.7	13.2	5	40	42.2	37	33.3	NA	NA	NA	NA	NA	NA	5	5	4	NA	NA	720	108000	0	600000	108000	0	11430	10684
2005 Saturn Ion	38248	Saturn	--	0.16	0.02	0.13	-0.01	0.03	0	103.2	184.5	67.2	57.4	2692	14.7	13.2	5	40	42.2	37	33.3	NA	NA	NA	NA	NA	NA	5	5	4	NA	NA	720	108000	0	600000	108000	0	12410	11595
2005 Saturn Ion	38248	Saturn	--	0.16	0.02	0.13	-0.02	0.03	-0.01	103.2	184.5	67.2	57.4	2692	14.7	13.2	5	40	42.2	37	33.3	NA	NA	NA	NA	NA	NA	5	5	4	NA	NA	990	108000	0	600000	108000	0	14380	13427
2005 Saturn Ion	38248	Saturn	--	0.16	0.02	0.13	-0.02	0.03	-0.01	103.2	184.5	67.2	57.4	2692	14.7	13.2	5	40	42.2	37	33.3	NA	NA	NA	NA	NA	NA	5	5	4	NA	NA	990	108000	0	600000	108000	0	15280	14264
2005 Saturn Ion	38248	Saturn	--	0.15	0.02	0.13	-0.02	0.03	-0.01	103.2	185	67.9	56	2751	14.2	13.2	4	38.9	42.2	36.5	32.7	NA	NA	NA	NA	NA	NA	5	5	NA	4	4	990	108000	0	600000	108000	0	14930	13939
2005 Saturn Ion	38248	Saturn	--	0.15	0.02	0.13	-0.02	0.03	-0.01	103.2	185	67.9	56	2751	14.2	13.2	4	38.9	42.2	36.5	32.7	NA	NA	NA	NA	NA	NA	5	5	NA	4	4	990	108000	0	600000	108000	0	15830	14776
2005 Saturn Ion	38248	Saturn	--	0.16	0.02	0.13	-0.03	0.03	-0.01	103.2	184.5	67.2	57.4	2692	14.7	13.2	5	40	42.2	37	33.3	NA	NA	NA	NA	NA	NA	5	5	4	NA	NA	1170	108000	0	600000	108000	0	15905	14846
2005 Saturn Ion	38248	Saturn	--	0.16	0.02	0.13	-0.03	0.03	-0.01	103.2	184.5	67.2	57.4	2692	14.7	13.2	5	40	42.2	37	33.3	NA	NA	NA	NA	NA	NA	5	5	4	NA	NA	1170	108000	0	600000	108000	0	16805	15683
2005 Saturn Ion	38248	Saturn	--	0.15	0.02	0.13	-0.03	0.03	-0.01	103.2	185	67.9	56	2751	14.2	13.2	4	38.9	42.2	36.5	32.7	NA	NA	NA	NA	NA	NA	5	5	NA	4	4	1170	108000	0	600000	108000	0	16680	15566
2005 Saturn Ion	38248	Saturn	--	0.15	0.02	0.13	-0.03	0.03	-0.01	103.2	185	67.9	56	2751	14.2	13.2	4	38.9	42.2	36.5	32.7	NA	NA	NA	NA	NA	NA	5	5	NA	4	4	1170	108000	0	600000	108000	0	17580	16403
